Title,Author
Tình Tự Mùa Xuân,Từ Công Phụng
Tình Vào Thu,
Tình Xa,Trịnh Công Sơn
Tình Xuân,Lê Đức Long
Tình Yêu Đến Trong Giã Từ,Nguyễn Ánh 9
Tình Yêu Như Bóng Mây,Song Ngọc
Tình Yêu Thủy Thủ,Y Vân
Tống Biệt Hành,Trầm Tử Thiêng
Tóc Mây,Phạm Thế Mỹ
Tôi Đi Giữa Hoàng Hôn,Văn Phụng
Tôi Đưa Em Sang Sông,
Tôi Muốn,Lê Hựu Hà
Tôi Vẫn Nhớ,
Trái Tim Không Ngủ Yên,
Trái Tim Ngục Tù,Đức Huy
Trái Tim Thật Thà,Trịnh Nam Sơn
Trái Tim Tội Lỗi,Quốc Dũng
Trả Lại Thoáng Mây Bay,Hoàng Thanh Tâm
Trăm Mến Ngàn Thương,
Trăm Phần Trăm,
Trăng Mờ Bên Suối,Lê Mộng Nguyên
Trăng Sáng Vường Chè,Văn Phụng & Nguyễn Bính
Trăng Sơn Cước,Văn Phụng
Trăng Tàn Trên Hè Phố,Phạm Thế Mỹ
Trăng Về Thôn Dã,Hoài An
Trên Bốn Vùng Chiến Thuật,Trúc Phương
Trên Da Tình Yêu,Lê Uyên Phương
Trên Đỉnh Mùa Đông,Trần Thiện Thanh
Trên Ngọn Tình Sầu,Từ Công Phụng
Trên Tháng Ngày Đã Qua,Từ Công Phụng
Triệu Đoá Hoa Hồng,
Trời Còn Mưa Mãi,
Trộm Nhìn Nhau,Trầm Tử Thiêng
Trở Về Huế,Văn Phụng
Trưng Vương Khung Cửa Mùa Thu,Nam Lộc
Trước Giờ Tạm Biệt,Hoài An
Từ Đó Em Buồn,Trần Thiện Thanh
Từ Giã Thơ Ngây,Nguyễn Hiền
Tuổi Biết Buồn,
Tuổi Đá Buồn,
Tuổi Mùa Xuân,Song Ngọc
Tuổi Xa Người,Từ Công Phụng
Túp Lều Lý Tưởng,Hoàng Thi Thơ
Tuyết Trắng,Trần Thiện Thanh
Tưởng Người Chết Đi,Trần Thiện Thanh
Tưởng Niệm,Trầm Tử Thiêng
Tưởng Rằng Đã Quên,Trịnh Công Sơn
Tấm Ảnh Không Hồn,Hoài An
Ước Hẹn Chiều Thu,Dương Thiệu Tước
Ước Thầm,
Và Con Tim Đã Vui Trở Lại,Đức Huy
Và Tôi Cũng Yêu Em,Đức Huy
Về Dưới Mái Nhà,Xuân Tiên
Về Đây Em,Trịnh Nam Sơn
Vết Thù Trên Lưng Ngựa Hoang,
Vết Thương Cuối Cùng,Diên An
Vết Thương Đời Của Em,Hoàng Thanh Tâm
Về Đây Nghe Em,Trần Quang Lộc
Vị Ngọt Đôi Môi,Lê Hựu Hà
Vĩnh Biệt Sài Gòn,Nam Lộc
Vì Yêu Đó Anh,Lê Đức Long
Vó Câu Muôn Dặm,Văn Phụng
Vùng Lá Me Bay,Anh Việt Thanh
Vũng Lầy Của Chúng Ta,Lê Uyên Phương
Vùng Trời Bình Yên,Phạm Hữu Tâm
Xa Em Kỷ Niệm,
Xe Hoa Một Chiếc,Hoàng Thi Thơ
Xin Còn Gọi Tên Nhau,Trường Sa
Xin Gọi Nhau Là Cố Nhân,Song Ngọc
Xin Hãy Rời Xa,Vũ Tuấn Đức
Xin Hãy Rời Xa,
Xin Làm Người Hát Rong,
Xin Mặt Trời Ngủ Yên,Trịnh Công Sơn
Xin Một Bóng Mát Bên Đường,Nguyễn Trung Cang
Xin Một Ngày Mai Có Nhau,Đức Huy
Xin Thời Gian Ngừng Trôi,Kuukou Lời Việt
Xóm Đêm,Phạm Đình Chương
Xuân Đã Về,Minh Kỳ
Xuân Họp Mặt,Văn Phụng
Xuân Miền Nam,Văn Phụng
Xuân Này Con Không Về,Trịnh Lâm Ngân
Xuân Và Tuổi Trẻ,La Hối
Xuân Yêu Thương,
Yesterday When I Was Young,
Yêu,Văn Phụng
Yêu Em,Lê Hựu Hà
Yêu Em Dài Lâu,Đức Huy
Yêu Một Mình,Trịnh Lâm Ngân
Yêu Người Yêu Đời,Lê Hựu Hà
