Title,Author
Cõi Mộng,Quốc Dũng
Còn Chút Gì Để Nhớ,Phạm Duy
Con Đường Xưa Em Đi,Trúc Phương
Con Đường Màu Xanh,Trịnh Nam Sơn
Con Đường Tình Ta Đi,Phạm Duy
Có Những Niềm Riêng,Lê Tín Hương
Còn Nắng Trên Đồi,Lê Uyên Phương
Con Quỳ Lạy Chúa Trên Trời,Phạm Duy
Con Thuyền Không Bến,Đặng Thế Phong
Con Tim Mù Lòa,
Cuối Tuần Bên Anh,Vũ Tuấn Đức
Câu Chuyện Đầu Năm,Hoài An
Còn Tuổi Nào Cho Em,Trịnh Công Sơn
Còn Yêu Em Mãi,Nguyễn Trung Cang
Cỏ Úa,Lam Phương
Cỏ Xót Xa Đưa,Trịnh Công Sơn
Cô Bắc Kỳ Nho Nhỏ,Phạm Duy
Cô Đơn,Nguyễn Ánh 9
Cô Hàng Xóm,
Cô Lái Đò Bến Hạ,Hoàng Thi Thơ
Cô Láng Giềng,Hoàng Quý
Cơn Gió Thoảng,Quốc Dũng
Cơn Mưa Phùn,Đức Huy
Cơn Mưa Trong Đời,
Cung Đàn Xưa,Văn Cao
Cuộc Tình Xưa,Tùng Giang
Cuối Cùng Cho Một Tình Yêu,Trịnh Công Sơn
Duyên Thề,Thanh Trang
Dạ Khúc,Nguyễn Trung Cang
Dạ Khúc Cho Tình Nhân,Lê Uyên Phương
Dạ Lai Hương,Phạm Duy
Dấn Bước Thăng Trầm,
Dấu Chân Địa Đàng,Trịnh Công Sơn
Dấu Tình Sầu,Ngô Thuỵ Miên
Dấu Yêu Ơi,Thái Thịnh
Diễm Xưa,Trịnh Công Sơn
Dịu Dàng Sắc Xuân,
Dĩ Vãng,Trịnh Nam Sơn
Dốc Mơ,Ngô Thuỵ Miên
Dừng Bước Giang Hồ,Hoàng Trọng
Duyên Quê,Hoàng Thi Thơ
Duyên Tình,Y Vân
Giòng Sông Kỷ Niệm,Trúc Hồ
Đám Cưới Đầu Xuân,Trần Thiện Thanh
Đám Cưới Nhà Binh,
Đám Cưới Trên Đường Quê,Hoàng Thi Thơ
Đan Áo Mừa Xuân,Phạm Thế Mỹ
Đắng Cay,
Đau Xót Lý Chim Quyên,
Đầu Xuân Lính Chúc,
Đá Xanh,Lê Uyên Phương
Đàn Bà,Song Ngọc
Đàn Ông,Song Ngọc
Để Nhớ Một Thời Ta Đã Yêu,Thái Thịnh
Đẹp Giấc Mơ Hoa,Hoàng Trọng
Để Quên Con Tim,Đức Huy
Đêm Buồn Tỉnh Lẻ,
Đêm Chợ Phiên Mùa Đông,Lê Uyên Phương
Đêm Cuối Cùng,Phạm Đình Chương
Đêm Định Mệnh,
Đêm Đông,
Đêm Đô Thị,Y Vân
Đêm Hoàng Lan,Hoàng Thanh Tâm
Đêm Nay Ai Đưa Em Về,
Đêm Ngắn Tình Dài,Dương Thiệu Tước
Đêm Nguyện Cầu,Lê Minh Bằng
Đêm Nhớ Trăng Sài Gòn,Phạm Đình Chương
Đêm Nhớ Về Sài Gòn,Trầm Tử Thiêng
Đêm Tái Ngộ,Y Vân
Đêm Thấy Ta Là Thác Đổ,Trịnh Công Sơn
Đêm Vũ Trường,
Điệp Khúc Mùa Xuân,Quốc Dũng
Định Mệnh,
Đóa Hoa Vô Thường,Trịnh Công Sơn
Đoạn Buồn Đêm Mưa,
Đoàn Người Lữ Thứ,Lam Phương
Đò Chiều,Trúc Phương
Đời Đá Vàng,Vũ Thành An
Đời Gọi Em Biết Bao Lần,Trịnh Công Sơn
Đồi Thông,Y Vân
Đồi Thông Hai Mộ,
Đời Tôi Chỉ Yêu Có Một Người,Huỳnh Anh
Đồng Xanh,
Đồn Vắng Chiều Xuân,Trần Thiện Thanh
Đón Xuân,
Đôi Mắt Người Sơn Tây,Phạm Đình Chương
Đừng Gọi Phone Và Nhắn Tin,Quốc Dũng
Đừng Lừa Dối Nhau,Y Vân
Đừng Phá Vỡ Ân Tình,
Đừng Xa Em Đêm Nay,Đức Huy
Đưa Người Tuyệt Vọng,Lê Uyên Phương
Đừng Bỏ Em Một Mình,Phạm Duy
Đường Về,Hoàng Trọng
Đường Về Hai Thôn,Phạm Thế Mỹ
Đường Về Quê Hương,Lam Phương
Đường Xa Ướt Mưa,Đức Huy
Đường Xưa,Quốc Dũng
Đường Xưa Lối Cũ,Hoàng Thi Thơ
Em Chờ Anh Trở Lại,Hoàng Nguyên
Em Có Bao Giờ Còn Nhớ Mùa Xuân,
Em Còn Nhớ Hay Em Đã Quên,Trịnh Công Sơn
Em Còn Nhớ Mùa Xuân,Ngô Thụy Miên
Em Đã Quên Mùa Thu,"Tùng Giang, Nam Lộc"
Em Đã Thấy Mùa Xuân Chưa,Quốc Dũng
Em Đến Thăm Anh Đêm 30,
Em Đến Thăm Anh Một Chiều Mưa,Tô Vũ
Em Đi,Đức Huy
Em Đi Chùa Hương,"Trung Đức, Nguyễn Nhược Pháp"
Em Đi Rồi,Lam Phương
Em Hiền Như Ma Sơ,"Nhạc Phạm Duy, Thơ Nguyễn Tất Nhiên"
Em Lễ Chùa Này,Phạm Duy
Em Sẽ Cho Tôi Bầu Trời,Trịnh Công Sơn
Em Về Nào Có Hay, Hoàng Trọng Thụy
Em Về Tinh Khôi,Quốc Bảo
Eternally,
Gái Xuân,
Gạo Trắng Trăng Thanh,Hoàng Thi Thơ
Gặp Nhau,Hoàng Thi Thơ
Ghé Bến Sài Gòn,Văn Phụng
Ghen,Trọng Khương & Nguyễn Bính
Giấc Mơ Qua,Nguyễn Trung Cang
Giáng Ngọc,Ngô Thụy Miên
Giáng Sinh Xanh,Từ Công Phụng
Giã Từ Đêm Mưa,Văn Phụng
Giã Từ Vũ Khí,Trịnh Lâm Ngân
Gió Mùa Xuân Tới,Hoàng Trọng
Giọt Lệ Cho Ngàn Sau,Từ Công Phụng
Giọt Lệ Đài Trang,Châu Kỳ
Giọt Mưa Thu,Đặng Thế Phong
Giọt Mưa Trên Lá,Phạm Duy
Giọt Nắng Bên Thềm,
Giọt Tình Sầu,Nam Lộc
Giữ Đời Cho Nhau,Từ Công Phụng
Gọi Người Yêu Dấu,
Gọi Tên Bốn Mùa,Trịnh Công Sơn
Gót Hồng Thôi Hết Phiêu Du,
Green Field,
Gửi Gió Cho Mây Ngàn Bay,
Hà Nội Ngày Tháng Cũ,Song Ngọc
Hạ Hồng,Phạm Duy
Hai Mùa Mưa,
Hai Mùa Noel,
Hai Phương Trời Cách Biệt,Hoàng Trọng
Hai Vì Sao Lạc,
Hận Đồ Bàn,Xuân Tiên
Hạnh Phúc Lang Thang,Anh Bằng & Trần Ngọc Sơn
Hạnh Phúc Nơi Nao,
Hàn Mặc Tử,Trần Thiện Thanh
Hận Tình Trong Mưa,
Hạ Trắng,Trịnh Công Sơn
Hát Với Dòng Sông,
Hãy Cho Tôi,
Hãy Ngồi Xuống Đây,Lê Uyên Phương
Hãy Ngước Mặt Nhìn Đời,Lê Hựu Hà
Hãy Yêu Nhau Đi,Trúc Sinh & Lê Đức Long
Hãy Yêu Như Chưa Yêu Lần Nào,Lê Hựu Hà
Hận Ly Hương,
Heart Of Gold,
Hẹn Hò,Phạm Duy
Hẹn Hò,
Heo May Tình Cũ,Phạm Đình Chương
Hết Đêm Nay Mai Sẽ Hay,Văn Phụng
Hình Ảnh Người Em Không Đợi,Hoàng Thi Thơ
Hoa Biển,Trần Thiện Thanh
Hòa Bình Ơi! Việt Nam Ơi!,Trầm Tử Thiêng
